name,country_parent,total,dems,repubs
Ovintiv USA (Ovintiv Inc),Canada/EnCana Corp,"$20,500","$6,000","$14,500"
Permobil Inc (Investor AB),Sweden/Investor AB,$0,$0,$0
Pernod Ricard USA,France/Pernod Ricard SA,"$7,500","$2,000","$5,500"
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,$0,$0,$0
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$32,000","$18,000","$14,000"
Philips Electronics North America (Philips),Netherlands/Philips Electronics,"$65,000","$35,000","$30,000"
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$84,800","$13,000","$71,800"
Purpose Financial (Grupo Salinas),Mexico/Grupo Salinas,"$10,500","$1,000","$9,500"
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$5,237",$0,"$5,237"
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$21,500","$12,500","$9,000"
Recurrent Energy,Canada/Canadian Solar,$0,$0,$0
RELX Inc,UK/RELX Group,"$168,000","$74,000","$94,000"
Resolute Forest Products,Canada/Resolute Forest Products,"$40,500","$10,000","$30,500"
Reynolds American (British American Tobacco),UK/British American Tobacco plc,"$159,000","$34,000","$125,000"
Rio Tinto America,UK/Rio Tinto Group,"$3,500",$0,"$3,500"
Roche Diagnostics (Roche Holdings),Switzerland/Roche Holdings,"$35,500","$11,500","$24,000"
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$125,500","$40,500","$85,000"
Safelite Group,Belgium/D'Ieteren SA,-$500,$0,-$500
Samsung Electronics America,South Korea/Samsung Group,"$114,500","$68,000","$46,500"
Sanofi US (Sanofi),France/Sanofi,"$152,500","$77,500","$75,000"
Santander Bank (Banco Santander),Spain/Banco Santander,"$54,500","$29,000","$25,500"
SAP America,Germany/SAP Aktiengesellschaft,"$24,500","$17,500","$7,000"
Securitas Security Services USA,Sweden/Securitas AB,$0,$0,$0
Serco Inc,UK/Serco Group,"$37,000","$21,000","$16,000"
Shell Oil,Netherlands/Royal Dutch-Shell Group,"$4,000",$0,"$4,000"
Shire Holdings US (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"-$12,500","-$1,500","-$11,000"
Siemens Corp,Germany/Siemens AG,"$52,500","$27,500","$25,000"
Smith & Nephew,UK/Smith & Nephew Plc,"$54,500","$23,000","$31,500"
Smithfield Foods,China/WH Group,"$32,500","$8,000","$24,500"
Smiths Group Services Corp (Smiths Group),UK/Smiths Group PLC,"$34,000","$14,500","$19,500"
Sodexo Inc,France/Sodexo,"$3,000",$0,"$3,000"
Solvay America,Belgium/Solvay SA,"$28,500","$13,500","$15,000"
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$78,500","$53,500","$25,000"
Sprint Communications (SoftBank Corp),Japan/Softbank Corp,"$97,000","$48,000","$49,000"
SSAB Americas,Sweden/SSAB AB,"$11,000","$2,000","$9,000"
Standard Insurance Co,Japan/Meiji Yasuda Life Insurance,$0,$0,$0
Steris Corp,UK/Steris PLC,"$8,750","$6,500","$2,250"
SUEZ Water,France/SUEZ Environnement,"$3,500","$2,500","$1,000"
Sun Life Financial (Sun Life Financial),Canada/Sun Life Financial,"$60,000","$35,500","$22,000"
Sunovion Pharmaceuticals (Sumitomo Chemical),Japan/Sumitomo Chemical,"$46,500","$20,500","$26,000"
Sunpower Corp,France/Total SA,"$12,000","$12,000",$0
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$1,000",$0,"$1,000"
Swiss Re America,Switzerland/Swiss Re,"$61,000","$35,000","$26,000"
Syngenta Corp,China/ChemChina,"$40,000","$16,000","$24,000"
T-Mobile USA,Germany/Deutsche Telekom AG,"$484,000","$249,000","$234,000"
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$53,000","$26,000","$27,000"
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$10,750","$2,000","$8,750"
TD Bank USA,Canada/Toronto-Dominion Bank,"$59,700","$21,200","$38,500"
TE Connectivity,Switzerland/TE Connectivity,"$23,000","$6,000","$17,000"
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$30,500","$7,500","$23,000"
Toyota Motor North America,Japan/Toyota Motor Corp,"$563,500","$272,000","$291,500"
TransAmerica,Netherlands/Aegon NV,"$285,000","$140,500","$143,500"
Transcanada USA Services (Transcanada Corp),Canada/TransCanada Corp,"$81,000","$29,000","$52,000"
Travelport Inc,UK/Travelport Ltd,$0,$0,$0
UBS Americas,Switzerland/UBS AG,"$772,500","$342,000","$430,500"
UCB Inc (UCB SA),Belgium/UCB SA,"$8,000","$1,500","$6,500"
Ultra Electronics USA,UK/Ultra Electronics,"$17,500","$7,500","$10,000"
Universal Music Group (Vivendi),France/Vivendi,"$65,000","$38,000","$27,000"
Valent USA (Sumitomo Chemical),Japan/Sumitomo Chemical,"$8,000","$4,000","$4,000"
VNA Holding (AB Volvo),Sweden/AB Volvo,"$28,000","$9,000","$19,000"
VT Halter Marine,Singapore/ST Engineering,"$8,700",$0,"$8,700"
Washington Gas Light Co (AltaGas Ltd),Canada/AltaGas Ltd,"$9,500","$7,500","$2,000"
Westinghouse Electric,Canada/Brookfield Business Partners,"$17,000","$3,500","$13,500"
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,$0,$0,$0
WSP worldwide,Canada/WSP Global,"$70,250","$48,250","$22,000"
XL America (AXA),France/AXA,$0,$0,$0
ZF TRW Automotive (ZF Friedrichshafen AG),Germany/ZF Friedrichshafen AG,$0,$0,$0
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$99,000","$59,500","$39,500"
